,postalCode,type,subtype,price,typeSale,subtypeSale,roomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
735,7300,HOUSE,HOUSE,245000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,HYPER_EQUIPPED,0,0,1,8.0,1,2,395,3.0,0,GOOD
736,7822,HOUSE,VILLA,245000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,SEMI_EQUIPPED,0,0,0,,1,1013,1013,4.0,0,TO_RENOVATE
737,9600,HOUSE,HOUSE,245000.0,FOR_SALE,BUY_REGULAR,,189.0,0.0,HYPER_EQUIPPED,1,0,1,15.0,1,75,175,2.0,0,AS_NEW
738,5550,HOUSE,HOUSE,249000.0,FOR_SALE,BUY_REGULAR,,137.0,0.0,INSTALLED,0,0,0,,1,0,5115,4.0,0,GOOD
739,6010,HOUSE,HOUSE,249000.0,FOR_SALE,BUY_REGULAR,,200.0,0.0,INSTALLED,0,0,1,20.0,1,120,320,3.0,0,JUST_RENOVATED
740,4500,HOUSE,HOUSE,250000.0,FOR_SALE,BUY_REGULAR,,220.0,0.0,INSTALLED,0,0,1,50.0,1,0,292,3.0,0,TO_BE_DONE_UP
741,2640,HOUSE,HOUSE,259000.0,FOR_SALE,BUY_REGULAR,,154.0,,,0,1,1,,1,0,175,2.0,0,TO_RENOVATE
742,4480,HOUSE,HOUSE,259000.0,FOR_SALE,BUY_REGULAR,,161.0,0.0,SEMI_EQUIPPED,0,1,1,25.0,1,250,479,3.0,0,GOOD
743,6060,HOUSE,HOUSE,259000.0,FOR_SALE,BUY_REGULAR,,135.0,0.0,INSTALLED,0,0,1,20.0,1,400,500,4.0,0,GOOD
744,1070,HOUSE,HOUSE,265000.0,FOR_SALE,BUY_REGULAR,,152.0,0.0,NOT_INSTALLED,0,0,1,30.0,0,0,77,2.0,0,TO_RENOVATE
745,4020,HOUSE,MIXED_USE_BUILDING,265000.0,FOR_SALE,BUY_REGULAR,,175.0,0.0,NOT_INSTALLED,0,0,0,,0,0,278,3.0,0,TO_RENOVATE
746,2870,HOUSE,HOUSE,269000.0,FOR_SALE,BUY_REGULAR,,150.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,200,4.0,0,TO_RENOVATE
747,4140,HOUSE,HOUSE,269000.0,FOR_SALE,BUY_REGULAR,,125.0,0.0,INSTALLED,0,0,1,15.0,1,35,220,2.0,0,TO_BE_DONE_UP
748,4620,HOUSE,VILLA,269000.0,FOR_SALE,BUY_REGULAR,,125.0,0.0,SEMI_EQUIPPED,0,0,0,,1,300,634,4.0,0,TO_BE_DONE_UP
749,4530,HOUSE,HOUSE,275000.0,FOR_SALE,BUY_REGULAR,,230.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,487,687,3.0,0,GOOD
